original_index,model,original_text,clean_text,airline,negativereason,true_label,pred_label,confusion_pair,error_category,notes;
"6257,BiLSTM,@SouthwestAir - Apology accepted! #customerserviceWIN #itravelalot http://t.co/z5znfwkKWP,apology accepted customerservicewin itravelalot,Southwest,,positive,neutral,positive -> neutral,mixed_or_ambiguous_sentiment,""The tweet refers to an earlier problem ('apology') but also expresses a positive resolution ('accepted', 'customerserviceWIN'), so it contains mixed sentiment cues.""";
"13744,BiLSTM,@AmericanAir booked AA3370 departing JFK 2/25/15. It was booked via BA and I want to change my FF# to AA can you do that for me via Twitter?,booked aa departing jfk it was booked via ba and want to change my ff to aa can you do that for me via twitter,American,,neutral,negative,neutral -> negative,neutral_request_or_information,""Mainly a practical request about changing a frequent-flyer number, not a complaint.""";
10820,BiLSTM,@USAirways it's vegas baby who doesn't have a good time in vegas lol,its vegas baby who doesnt have good time in vegas lol,US Airways,,neutral,negative,neutral -> negative,neutral_request_or_information,The tweet does not express a clear opinion about the airline. The negative prediction may be caused by the rhetorical question ('who doesn't have a good time').;
"5681,BiLSTM,@SouthwestAir what does relay concerns really mean & how/why do u keep letting people on flights with bags larger than u state are allowabl?,what does relay concerns really mean amp howwhy do keep letting people on flights with bags larger than state are allowabl,Southwest,Bad Flight,negative,positive,negative -> positive,implicit_negative_or_complaint,""Complaint about baggage policy and inconsistency, but phrased as a question rather than direct negative opinion.""";
"989,BiLSTM,""@united Thank you, ^JH, appreciate the prompt responses--me and other passengers will be doing so."",thank you jh appreciate the prompt responsesme and other passengers will be doing so,United,,neutral,positive,neutral -> positive,neutral_request_or_information,""The tweet contains polite gratitude ('Thank you', 'appreciate'), but it functions mainly as a conversational response rather than a clear positive evaluation of the airline.""";
"6787,BiLSTM,@JetBlue Is there an issue with your website and logging on? (App too?) I know I am entering info correctly but cannot sign in! :(,is there an issue with your website and logging on app too know am entering info correctly but cannot sign in,Delta,Flight Booking Problems,negative,neutral,negative -> neutral,implicit_negative_or_complaint,""Complaint about inability to log in, but framed as a question asking whether there is an issue.""";
"13337,BiLSTM,@AmericanAir got off the phone w/ rep now flight has disappeared. Locator IRRLCD she said I was rescheduled. Help please.,got off the phone rep now flight has disappeared locator irrlcd she said was rescheduled help please,American,Cancelled Flight,negative,neutral,negative -> neutral,implicit_negative_or_complaint,""Negative service issue is described through facts ('flight has disappeared', 'Help please') rather than strong emotional words.""";
6813,BiLSTM,@JetBlue Thank you for credits. However;" I submitted complaints about the property on vacation package. Hope you listen!,thank you for credits however submitted complaints about the property on vacation package hope you listen,Delta,Customer Service Issue,negative,positive,negative -> positive,mixed_or_ambiguous_sentiment,""Contains both gratitude ('Thank you for credits') and dissatisfaction ('submitted complaints'), creating mixed signals."""
"6308,BiLSTM,@SouthwestAir Hi! Just got my TSA pre-check # & put it in my acct. But it's not on my boarding pass for a flight this p.m.Can it be updated?,hi just got my tsa precheck amp put it in my acct but its not on my boarding pass for flight this pmcan it be updated,Southwest,Customer Service Issue,negative,neutral,negative -> neutral,implicit_negative_or_complaint,""Problem with TSA pre-check on boarding pass is a service complaint, but phrased politely as a request for help.""";
"1268,BiLSTM,@united as a freq flyer it makes me sad to see cust needing assistance treated so poorly. #ServiceFail,as freq flyer it makes me sad to see cust needing assistance treated so poorly servicefail,United,Customer Service Issue,negative,neutral,negative -> neutral,implicit_negative_or_complaint,""Negative sentiment is clear ('treated so poorly'), but the model may underweight it because the tweet is descriptive rather than strongly emotional.""";
